category,description,carbohydrate,protein,fat_total_lipid,kilocalories
CEREALS,"CEREALS,CREAM OF WHEAT,INST,DRY",75.5,10.6,1.4,366
CEREALS,"CEREALS,CREAM OF WHEAT,INST,PREP W/ H2O,WO/ SALT",13.08,1.84,0.24,62
CEREALS,"CEREALS,CREAM OF WHEAT,MIX'N EAT,PLN,DRY",75.6,9.7,1.2,361
CEREALS,"CEREALS,CREAM OF WHEAT,MIX'N EAT,PLN,PREP W/ H2O",15.1,1.9,0.2,72
CEREALS,"CEREALS,CRM OF WHEAT,MIX'N EAT,APPL,BANANA&MAPLE FLAV,DRY",81.6,6.9,1.1,373
CEREALS,"CEREALS,CRM OF WHEAT,MIX'N EAT,APPL,BANANA&MAPLE FLAV,PREP",19.3,1.6,0.3,88
CEREALS,"CEREALS,FARINA,ENR,DRY",78.0,10.6,0.5,369
CEREALS,"CEREALS,FARINA,ENR,CKD W/ H2O,WO/ SALT",10.47,1.42,0.07,48
CEREALS,"CEREALS,MALTEX,DRY",77.3,11.2,2.1,352
CEREALS,"CEREALS,MALTEX,CKD W/ H2O,WO/ SALT",15.81,2.29,0.43,76
CEREALS,"CEREALS,MALT-O-MEAL,PLN,DRY",75.6,11.8,1.27,361
CEREALS,"CEREALS,MAYPO,DRY",72.0,13.2,5.3,385
CEREALS,"CEREALS,MAYPO,CKD W/ H2O,WO/ SALT",13.3,2.4,1.0,71
CEREALS,"CEREALS,OATS,REG & QUICK & INST,NOT FORT,DRY",67.7,13.15,6.52,379
CEREALS,"CEREALS,OATS,REG & QUICK & INST,UNENR,CKD W/ H2O,WO/ SALT",12.0,2.54,1.52,71
CEREALS,"CEREALS,OATS,INST,FORT,PLN,DRY",67.55,12.72,6.25,375
CEREALS,"CEREALS,OATS,INST,FORT,PLN,PREP W/ H2O",11.67,2.37,1.36,68
CEREALS,"CEREALS,QUAKER,INST OATMEAL,APPLS & CINN,DRY",77.92,8.0,4.39,365
CEREALS,"CEREALS,QUAKER,INST OATMEAL,APPLS & CINN,PREP W/ BOILING H2O",17.77,1.82,1.0,87
CEREALS,"CEREALS,OATS,INST,FORT,W/ CINN & SPICE,DRY",76.97,8.59,4.67,370
CEREALS,"CEREALS,OATS,INST,FORT,W/ CINN & SPICE,PREP W/ H2O",21.52,2.4,1.31,107
CEREALS,"CEREALS,QUAKER,INST OATMEAL,MAPLE & BROWN SUGAR,DRY",75.28,8.93,4.83,366
CEREALS,"CEREALS,QUAKER,INST OAT, MAPLE & BR SUGAR,PREP W/ BOIL H2O",20.04,2.38,1.29,101
CEREALS,"CEREALS,OATS,INST,FORT,W/ RAISINS & SPICE,DRY",76.31,7.76,4.27,360
CEREALS,"CEREALS,OATS,INST,FORT,W/ RAISINS & SPICE,PREP W/ H2O",20.32,2.07,1.14,100
CEREALS,"CEREALS,RALSTON,DRY",72.1,14.1,2.1,341
CEREALS,"CEREALS,RALSTON,CKD W/ H2O,WO/ SALT",11.2,2.2,0.3,53
CEREALS,"CEREALS,ROMAN MEAL,PLN,DRY",72.0,14.4,2.2,322
CEREALS,"CEREALS,ROMAN MEAL,PLN,CKD W/ H2O,WO/ SALT",13.7,2.7,0.4,61
CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,MARSHMLLW MATEYS",83.3,7.2,3.6,394
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,CINN GRAHAMS",86.0,5.0,2.8,378
CEREALS RTE,"CEREALS RTE,CHOC FLAV RINGS,PRESWEETENED,SINGLE BRAND",81.9,4.8,8.8,415
CEREALS,"CEREALS,WHEATENA,DRY",75.6,13.1,2.9,357
CEREALS,"CEREALS,WHEATENA,CKD W/ H2O",11.8,2.0,0.5,56
CEREALS,"CEREALS,WHL WHEAT HOT NAT CRL,DRY",75.2,11.2,2.0,342
CEREALS,"CEREALS,WHL WHEAT HOT NAT CRL,CKD W/ H2O,WO/ SALT",13.7,2.0,0.4,62
CEREALS RTE,"CEREALS RTE,QUAKER,QUAKER PUFFED WHEAT",76.39,16.26,2.15,366
CEREALS RTE,"CEREALS RTE,WHEAT,SHREDDED,PLN,SUGAR & SALT FREE",78.76,11.37,2.21,337
CEREALS RTE,"CEREALS RTE,WHEAT,SHREDDED,PLN,SUGAR&SALT FREE,SPOON SIZE",83.0,10.3,1.1,340
CEREALS,"CEREALS,ROMAN MEAL WITH OATS,CKD W/ H2O,WO/ SALT",14.2,3.0,0.8,71
CEREALS RTE,"CEREALS RTE,RICE,PUFFED,FORT",89.8,6.3,0.5,402
CEREALS RTE,"CEREALS RTE,WHEAT,PUFFED,FORT",79.6,14.7,1.2,364
CEREALS,"CEREALS,CORN GRITS,WHITE,REG & QUICK,UNENR,DRY",79.6,8.8,1.2,371
CEREALS,"CEREALS,CORN GRITS,YEL,REG & QUICK,ENR,DRY",79.6,8.8,1.2,371
CEREALS,"CEREALS,CORN GRITS,YEL,REG & QUICK,UNENR,DRY",79.6,8.8,1.2,371
CEREALS,"CEREALS,CORN GRITS,WHITE,REG,QUICK,ENR,CKD W/ H2O,W/ SALT",12.87,1.42,0.19,59
CEREALS,"CEREALS,CORN GRITS,WHITE,REG & QCK,UNENR,CKD W/ H2O,WO/ SALT",12.87,1.42,0.19,59
CEREALS,"CEREALS,CORN GRITS,WHITE,REG,QUICK,UNENR,CKD W/ H2O,W/ SALT",13.0,1.4,0.2,60
CEREALS,"CEREALS,CORN GRITS,YEL,REG & QUICK,ENR,CKD W/ H2O,WO/ SALT",12.87,1.42,0.19,59
CEREALS,"CEREALS,CORN GRITS,YEL,REG,QUICK,ENR,CKD W/ H2O,W/ SALT",12.87,1.42,0.19,59
CEREALS,"CEREALS,CORN GRITS,YEL,REG & QUICK,UNENR,CKD W/ H2O,WO/ SALT",12.87,1.42,0.19,59
CEREALS,"CEREALS,CORN GRITS,YEL,REG,QUICK,UNENR,CKD W/ H2O,W/ SALT",12.87,1.42,0.19,59
CEREALS,"CEREALS,CREAM OF RICE,CKD W/ H2O,W/ SALT",11.5,0.9,0.1,52
CEREALS,"CEREALS,CRM OF WHEAT,REG,CKD W/ H2O,W/ SALT,(WHEAT)",11.0,1.51,0.22,52
CEREALS,"CEREALS,CREAM OF WHEAT,QUICK,CKD W/ H2O,W/ SALT",11.2,1.5,0.2,54
CEREALS,"CEREALS,CRM OF WHEAT,INST,PREP W/ H2O,W/ SALT,(WHEAT)",13.08,1.84,0.24,62
CEREALS,"CEREALS,FARINA,UNENR,DRY",78.0,10.6,0.5,369
CEREALS,"CEREALS,FARINA,ENR,CKD W/ H2O,W/ SALT",10.47,1.42,0.07,48
CEREALS,"CEREALS,MALTEX,CKD W/ H2O,W/ SALT",15.81,2.29,0.43,76
CEREALS,"CEREALS,MALT-O-MEAL,CHOC,DRY",79.9,10.6,1.31,374
CEREALS,"CEREALS,MAYPO,CKD W/ H2O,W/ SALT",13.23,2.43,0.97,71
CEREALS,"CEREALS,OATS,REG & QUICK & INST,UNENR,CKD W/ H2O,W/ SALT",12.0,2.54,1.52,71
CEREALS,"CEREALS,ROMAN MEAL,PLN,CKD W/ H2O,W/ SALT",13.7,2.7,0.4,61
CEREALS,"CEREALS,WHEATENA,CKD W/ H2O,W/ SALT",11.74,2.03,0.45,59
CEREALS,"CEREALS,WHL WHEAT HOT NAT CRL,CKD W/ H2O,W/ SALT",13.7,2.0,0.4,62
CEREALS,"CEREALS,ROMAN MEAL WITH OATS,CKD W/ H2O,W/ SALT",14.2,3.0,0.8,71
CEREALS,"CEREALS,RALSTON,CKD W/ H2O,W/ SALT",11.2,2.2,0.3,53
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S LOFAT GRANOLA WO/ RAISINS",81.5,8.0,5.2,387
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,OATMEAL CRISP,APPL CINN",84.0,7.27,3.64,382
CEREALS RTE,"CEREALS RTE,WHEAT,SHREDDED,PRESWEETENED,SINGLE BRAND",83.8,7.8,1.9,352
CEREALS RTE,"CEREALS RTE,CORN,RICE,WHEAT,OAT,PRESWEETENED,W/FRUIT&ALMONDS",78.9,6.6,4.5,383
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,REESE'S PUFFS",75.86,6.67,11.67,433
CEREALS RTE,"CEREALS RTE,HEALTHY CHOIC,KELLOGG'S ALMOND CRUNCH W/RAISINS",78.6,8.7,4.66,360
CEREALS,"CEREALS,QUAKER,QUAKER MULTIGRAIN OATMEAL,DRY",73.44,11.3,2.58,333
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,OATMEAL CRISP W/ ALMONDS",77.25,9.09,8.18,400
CEREALS RTE,"CEREALS RTE,CHOCOLATE-FLAVORED FRSTD PUFFED CORN",87.2,3.34,3.5,405
CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,COCO-ROOS",89.5,3.7,2.6,396
CEREALS RTE,"CEREALS RTE,QUAKER,QUAKER OAT CINN LIFE",79.27,8.93,4.01,373
CEREALS RTE,"CEREALS RTE,QUAKER,HONEY GRAHAM OH!S",83.61,4.09,7.45,411
CEREALS RTE,"CEREALS RTE,QUAKER,SUN COUNTRY GRANOLA W/ ALMONDS",67.2,11.77,18.02,467
CEREALS RTE,"CEREALS RTE,QUAKER,QUAKER OATMEAL SQUARES",78.34,11.04,4.32,378
CEREALS RTE,"CEREALS RTE,QUAKER,QUAKER CINN OATMEAL SQUARES",79.21,10.49,4.48,379
CEREALS RTE,"CEREALS RTE,QUAKER,QUAKER OAT BRAN CRL",74.89,12.38,5.11,372
CEREALS READY TO EAT,"CEREALS READY TO EAT,CHARACTER CEREALS (MOVIES,TV),BRAND A",85.9,6.13,2.33,389
CEREALS RTE,"CEREALS RTE,QUAKER,100% NAT CRL W/ OATS,HONEY,& RAISINS",73.88,9.42,11.33,417
CEREALS RTE,"CEREALS RTE,QUAKER,QUAKER TSTD OATMEAL CRL,HONEY NUT",81.24,9.01,4.07,384
CEREALS RTE,"CEREALS RTE,QUAKER,LOFAT 100% NAT GRANOLA W/ RAISINS",81.12,7.87,5.54,390
CEREALS,"CEREALS,QUAKER,CORN GRITS,INST,BUTTER FLAVOR,DRY",75.04,8.09,5.51,366
CEREALS READY TO EAT,"CEREALS READY TO EAT,CHARACTER CEREALS (MOVIES,TV),BRAND B",90.0,3.33,1.67,388
CEREALS,"CEREALS,QUAKER,INST OATMEAL,FRUIT & CRM VAR,DRY",74.72,7.99,7.52,386
CEREALS,"CEREALS,QUAKER,INST OATMEAL,FRT& CRM VAR,PREP W/ BOILING H2O",13.56,1.45,1.36,72
CEREALS,"CEREALS,QUAKER,INST OATMEAL,RAISINS,DATES & WALNUTS,DRY",73.69,8.87,5.5,365
CEREALS,"CEREALS,QUAKER,INST OATMEAL,LO NA,DRY",67.29,13.0,7.09,365
CEREALS,"CEREALS,QUAKER,FARINA,CREAMY WHEAT,ENR,DRY",76.13,10.82,0.95,349
CEREALS,"CEREALS,QUAKER,OAT BRAN,QUAKER/MOTHER'S OAT BRAN,DRY",62.94,17.03,7.97,364
CEREALS,"CEREALS,QUAKER,SCOTCH BARLEY,REG&QUICK,DRY",76.38,10.74,2.24,346
CEREALS,"CEREALS,QUAKER,OATMEAL,INST,LO NA,PREP W/H2O",16.67,3.59,1.79,93
CEREALS,"CEREALS,QUAKER,OATMEAL,INST,RAISINS,DATES&WALNUTS,PREP W/H2O",23.5,2.83,1.75,116
CEREALS,"CEREALS,QKR,OAT BRAN,PREP W/H2O,NO SALT",7.49,2.03,0.95,43
CEREALS,"CEREALS,QUAKER,CREAMY WHEAT,FARINA,ENR,PREP W/H2O,NO SALT",11.26,1.53,0.07,51
CEREALS,"CEREALS,QUAKER,CORN GRITS,INST,BUTTER FLAVOR,PREP W/H2O",14.02,1.51,1.03,71
CEREALS RTE,"CEREALS RTE,GEN MILLS,BERRY BURST CHEERIOS,ALL FLAVORS",80.0,10.0,4.0,367
CEREALS,"CEREALS,OAT BRAN,QKR,QKR/MOTHER'S OAT BRAN,PREP W/H2O,SALT",7.49,2.03,0.95,43
CEREALS,"CEREALS,QUAKER,CREAMY WHEAT,FARINA,ENR,PREP W/H2O,SALT",11.24,1.53,0.07,51
CEREALS RTE,"CEREALS RTE,JUST RIGHT W/ CRUNCHY NUGGETS",83.7,7.7,2.7,371
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,HONEY NUT CLUSTERS",83.64,7.27,4.55,382
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,FIBER ONE",83.33,6.67,3.33,200
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,OATMEAL CRISP,RAISIN",80.0,9.09,3.64,382
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,TOTAL CORN FLAKES",85.55,6.05,1.61,373
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,TOTAL RAISIN BRAN",76.36,5.45,1.82,309
CEREALS,"CEREALS,QUAKER,QUAKER MULTIGRAIN OATMEAL,PREP W/H2O,NO SALT",13.49,2.08,0.47,61
CEREALS,"CEREALS,QUAKER,QUAKER MULTIGRAIN OATMEAL,PREP W/H2O,SALT",13.47,2.07,0.47,61
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN W/ EX FIBER",77.0,11.3,3.5,192
CEREALS RTE,"CEREALS RTE,APPL CINN SQUARES MINI-WHEATS",80.1,7.2,1.8,331
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S COMPLETE OAT BRAN FLAKES",77.0,11.0,3.5,350
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S CRISPIX",86.95,6.25,1.28,377
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,RAISIN NUT BRAN",76.36,7.27,6.36,364
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,BASIC 4",80.0,7.27,5.45,382
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,APPL CINN CHEERIOS",83.33,6.67,5.0,400
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,FRSTD CHEERIOS",83.25,7.14,3.57,393
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,FRANKENBERRY",88.88,3.33,3.33,400
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,COUNTRY CORN FLAKES",84.09,6.67,1.67,367
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,COUNT CHOCULA",88.37,3.33,3.3,400
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,COCOA PUFFS",86.67,3.33,5.0,400
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,CINN TOAST CRUNCH",79.73,5.27,9.38,433
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,BOO BERRY",88.82,3.33,3.33,400
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,BERRY BERRY KIX",86.67,3.33,5.0,400
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,NATURE VALLEY LOFAT FRUIT GRANOLA",80.0,8.0,4.6,386
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,KABOOM",87.26,3.33,3.33,400
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S JUST RIGHT FRUIT & NUT",81.7,7.0,3.3,366
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S LOFAT GRANOLA W/ RAISINS",81.7,7.8,5.0,384
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S MUESLIX",73.0,9.1,5.5,357
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S RAISIN MINI-WHEATS",79.9,9.4,1.4,342
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S RICE KRISPIES TREATS CRL",84.7,4.8,4.6,399
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S STRAWBERRY MINI-WHEATS",80.0,9.1,2.0,335
CEREALS RTE,"CEREALS RTE,HEALTH VALLEY,FIBER 7 FLAKES",78.15,14.44,1.41,353
CEREALS RTE,"CEREALS RTE,QUAKER,QUAKER APPL ZAPS",88.74,3.68,3.45,393
CEREALS RTE,"CEREALS RTE,QUAKER,QUAKER COCOA BLASTS",88.7,3.67,3.54,394
CEREALS RTE,"CEREALS RTE,QUAKER,QUAKER FRUITANGY OH!S",87.21,4.87,3.5,392
CEREALS RTE,"CEREALS RTE,QUAKER,QUAKER MARSHMLLW SAFARI",84.27,5.79,5.02,396
CEREALS RTE,"CEREALS RTE,QUAKER,QUAKER SWT PUFFS",87.99,6.76,1.93,391
CEREALS RTE,"CEREALS RTE,OAT,CORN&WHEAT SQUARES,PRESWEETENED,MAPLE FLAV",79.9,6.0,9.8,430
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S HONEY CRUNCH CORN FLAKES",87.0,6.8,1.9,385
CEREALS,"CEREALS,QUAKER,HOMINY GRITS,WHITE,QUICK,DRY",79.16,8.53,1.36,347
CEREALS,"CEREALS,QUAKER,HOMINY GRITS,YEL,QUICK,DRY",77.76,8.26,1.66,337
CEREALS,"CEREALS,QUAKER,HOMINY GRITS,WHITE,REG,DRY",79.16,8.53,1.36,347
CEREALS,"CEREALS,QUAKER,FARINA,ENR CINN FLAVOR,DRY",74.54,12.11,0.79,346
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S SMART START ANTIOXIDANT CRL",86.0,7.0,1.41,365
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S FRSTD MINI-WHEATS,BITE SIZE",81.0,10.1,1.6,344
CEREALS RTE,"CEREALS RTE,KRAFT,POST BANANA NUT CRUNCH CRL",74.0,8.5,10.3,422
CEREALS RTE,"CEREALS RTE,KRAFT,POST BLUEBERRY MORNING CRL",78.9,6.6,4.5,383
CEREALS RTE,"CEREALS RTE,KRAFT,POST BRAN FLAKES",80.4,9.4,2.2,320
CEREALS RTE,"CEREALS RTE,KRAFT,POST COCOA PEBBLES CRL",87.9,3.5,4.2,398
CEREALS RTE,"CEREALS RTE,KRAFT,POST FRUITY PEBBLES CRL",87.9,3.6,3.9,401
CEREALS RTE,"CEREALS RTE,KRAFT,POST FRSTD ALPHA-BITS CRL",83.5,8.5,4.1,405
CEREALS RTE,"CEREALS RTE,KRAFT,POST MARSHMLLW ALPHA-BITS CRL",86.7,5.9,3.3,398
CEREALS RTE,"CEREALS RTE,KRAFT,POST FRUIT&FIBRE DATES,RAISINS&WALNUTS CRL",76.2,7.1,5.6,385
CEREALS RTE,"CEREALS RTE,KRAFT,POST GOLDEN CRISP CRL",90.9,5.5,1.4,398
CEREALS RTE,"CEREALS RTE,KRAFT,POST GRAPE-NUTS FLAKES",81.5,10.0,2.9,365
CEREALS RTE,"CEREALS RTE,KRAFT,POST GREAT GRAINS CRUNCHY PECAN CRL",71.4,9.3,11.8,408
CEREALS RTE,"CEREALS RTE,KRAFT,POST GREAT GRAINS RAISIN,DATE&PECAN CRL",73.2,8.0,8.4,377
CEREALS RTE,"CEREALS RTE,KRAFT,POST HONEY BUNCHES OF OATS W/ALMONDS CRL",78.0,7.8,8.5,407
CEREALS RTE,"CEREALS RTE,KRAFT,POST HONEYCOMB CRL",88.9,5.2,2.1,395
CEREALS RTE,"CEREALS RTE,KRAFT,POST OREO O'S CRL",79.7,4.8,8.8,415
CEREALS RTE,"CEREALS RTE,KRAFT,POST TOASTIES CORN FLAKES",86.7,6.7,0.1,360
CEREALS RTE,"CEREALS RTE,KRAFT,POST FRSTD SHREDDED WHEAT BITE SIZE CRL",83.8,7.8,1.9,352
CEREALS RTE,"CEREALS RTE,KRAFT,POST THE ORIGINAL SHREDDED WHEAT 'N BRAN",79.9,12.5,1.4,334
CEREALS RTE,"CEREALS RTE,KRAFT,POST THE ORIGIN SHREDDED WHEAT SPOON SIZE",83.0,10.3,1.1,340
CEREALS RTE,"CEREALS RTE,KRAFT,POST 100% BRAN CRL",78.2,12.7,2.1,287
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,MULTI-BRAN CHEX",84.06,6.9,2.59,328
CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,COLOSSAL CRUNCH",86.6,4.2,5.48,415
CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,BERRY COLOSSAL CRUNCH",85.9,4.89,5.44,412
CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,CRISPY RICE",86.4,6.3,1.13,381
CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,TOOTIE FRUITIES",87.9,5.0,3.29,401
CEREALS,"CEREALS,RTE,MALT-O-MEAL,TOASTY O'S",74.6,13.1,5.92,404
CEREALS RTE,"CEREALS RTE,QUAKER,MOTHER'S PNUT BUTTER BUMPERS CRL",78.27,8.28,7.34,403
CEREALS RTE,"CEREALS RTE,QUAKER,MOTHER'S TSTD OAT BRAN CRL,BROWN SUGAR",74.92,11.9,5.17,373
CEREALS RTE,"CEREALS RTE,QUAKER,MOTHER'S CINN OAT CRUNCH",79.21,10.49,4.64,380
CEREALS RTE,"CEREALS RTE,QUAKER,MOTHER'S GROOVY GRAHAMS",86.38,5.44,1.63,372
CEREALS RTE,"CEREALS RTE,QUAKER,MOTHER'S COCOA BUMPERS",87.64,5.08,1.74,376
CEREALS RTE,"CEREALS RTE,QUAKER,FRUITY BRONTOSAURUS BLASTS,BAGGED CRL",89.27,3.75,2.45,376
CEREALS RTE,"CEREALS RTE,QUAKER,CRISPY CORN PUFFS CRL",83.5,7.23,2.88,376
CEREALS RTE,"CEREALS RTE,QUAKER,FRSTD OATS",81.96,6.06,5.96,396
CEREALS RTE,"CEREALS RTE,QUAKER,OATMEAL CRL,BROWN SUGAR BLISS",79.69,8.78,5.56,384
CEREALS RTE,"CEREALS RTE,QUAKER,HONEY GRAHAM BAGGED CRL",83.64,5.6,5.24,395
CEREALS RTE,"CEREALS RTE,QUAKER,TSTD OATS/OATMMM'S",77.91,9.23,5.1,380
CEREALS RTE,"CEREALS RTE,QUAKER,KRETSCHMER TSTD WHEAT BRAN",59.51,17.56,5.16,200
CEREALS RTE,"CEREALS RTE,QUAKER,CINN CRUNCH BAGGED CRL",83.67,5.07,6.02,397
CEREALS RTE,"CEREALS RTE,QUAKER,KRETSCHMER WHEAT GERM,REG",49.38,31.43,9.56,366
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,PARA SU FAMILIA RAISIN BRAN",76.36,7.27,1.82,309
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S,CRISPIX CINN CRUNCH",87.0,4.8,3.7,399
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S CRUNCHEROOS",73.3,13.3,5.0,365
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S MARSHMLLW FROOT LOOPS",90.0,4.0,2.4,394
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S PUFFED WHEAT",77.0,15.0,1.6,322
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S,RAISIN BRAN CRUNCH",84.9,6.1,1.9,354
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S SPL K RED BERRIES",80.6,12.4,1.0,369
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S SHREDDED WHEAT MINIATURES",80.0,11.0,2.1,339
CEREALS RTE,"CEREALS RTE,KASHI GOLEAN CRUNCH! BY KELLOGG",67.9,17.5,5.8,377
CEREALS RTE,"CEREALS RTE,KASHI HEART TO HEART,HONEY TSTD OAT",76.0,13.0,5.1,358
CEREALS RTE,"CEREALS RTE,PUFFED KASHI BY KELLOGG",80.0,12.0,2.9,394
CEREALS RTE,"CEREALS RTE,KASHI 7 WHL GRAIN HONEY PUFFS",82.5,10.0,3.3,381
CEREALS RTE,"CEREALS RTE,KASHI GOOD FRIENDS BY KELLOGG",81.8,9.4,3.6,316
CEREALS RTE,"CEREALS RTE,KASHI GOLEAN BY KELLOGG",58.0,26.1,1.9,284
CEREALS RTE,"CEREALS RTE,QUAKER,MOTHER'S HONEY ROUNDUP",87.77,5.44,2.0,382
CEREALS RTE,"CEREALS RTE,QUAKER,HONEY NUT OATS",84.53,6.04,3.65,385
CEREALS RTE,"CEREALS RTE,QUAKER,HONEY CRISP CORN FLAKES",88.82,5.68,0.77,374
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,HARMONY",79.0,11.0,2.2,365
CEREALS RTE,"CEREALS RTE,QUAKER,CRANBERRY MACADAMIA NUT CRL",76.98,6.64,9.82,408
CEREALS RTE,"CEREALS RTE,QUAKER,FRUITY OCEAN ADVENTURE BAGGED CRL",87.24,4.86,3.84,394
CEREALS,"CEREALS,QUAKER,QUICK OATS,DRY",68.18,13.7,6.87,371
CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,APPL CINN TOASTY O'S",82.5,7.1,5.69,410
CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,FRSTD FLAKES",90.9,5.0,0.4,387
CEREALS,"CEREALS,QUAKER,INST OATMEAL,CINNAMON-SPICE,DRY",76.97,8.59,4.67,370
CERLS,"CERLS,QUKR,INST OTML,DNSR EGS W/ ""DNSR BNS"",BRN SGR CINN,DRY",75.85,7.67,7.47,389
CEREALS,"CEREALS,QUAKER,INST OATMEAL,FRENCH VANILLA FLAVOR,DRY",75.73,9.05,4.93,369
CEREALS,"CEREALS,QUAKER,INST OATMEAL,BKD APPL,DRY",77.09,7.99,4.39,363
CEREALS,"CEREALS,QUAKER,INST OATMEAL EXPRESS,GOLDEN BROWN SUGAR,DRY",77.0,8.5,4.78,372
CEREALS,"CEREALS,QUAKER,INST OATMEAL,TREASURE HUNT,DRY",76.93,7.72,4.76,369
CEREALS,"CEREALS,QUAKER,INST OATMEAL,HONEY NUT,DRY",72.58,9.29,8.37,389
CEREALS,"CEREALS,QUAKER,INST OATMEAL,BANANA BREAD,DRY",75.86,8.85,4.75,368
CEREALS,"CEREALS,QUAKER,INST OATMEAL EXPRESS,BKD APPL,DRY",77.43,8.07,4.62,367
CEREALS,"CEREALS,QUAKER,INST OATMEAL EXPRESS CINN ROLL,DRY",76.34,8.85,5.04,371
CEREALS,"CEREALS,QUAKER,INST OATMEAL,NUTR FOR WOMEN,VANILLA CINN,DRY",72.03,11.71,4.65,363
CEREALS,"CEREALS,QUAKER,INST OATMEAL,NUTR FOR WOMEN,GLDN BRWN SGR,DRY",71.65,11.6,4.72,363
CEREALS,"CEREALS,QUAKER,INST OATMEAL,NUTR FOR WOMEN,APPL SPICE,DRY",74.01,10.57,4.18,360
CEREALS,"CEREALS,QUAKER,INST OATMEAL,CINN SPICE,PREP W/ BOILING H2O",21.52,2.4,1.31,107
CLS,"CLS,QKR,INSTOAT,DIN EGSW/ DINBNS,BRNSGRCINN,PRP W/ BOIL H2O",22.51,2.28,2.22,119
CEREALS,"CEREALS,QUAKER,INST OATMEAL,FRENCH VANILLA,PREP W/ BOIL H2O",20.16,2.41,1.31,102
CEREALS,"CEREALS,QUAKER,INST OATMEAL,BKD APPL,PREP W/ BOILING H2O",19.45,2.02,1.11,96
CEREALS,"CEREALS,QUAKR,INST OATMEAL,TREASURE HUNT,PREP W/ BOILING H2O",21.85,2.19,1.35,108
CEREALS,"CEREALS,QUAKER,INST OATMEAL,HONEY NUT,PREP W/ BOILING H2O",19.32,2.47,2.23,107
CEREALS,"CEREALS,QUAKR,INST OATMEAL,EXPR BKD APPL,PREP W/ BOILING H2O",24.24,2.53,1.45,120
CEREALS,"CEREALS,QUAKER,INST OATMEAL, CINN ROLL,PREP W/ BOILING H2O",23.9,2.77,1.58,121
CRLS,"CRLS,QUAKR INST OTML,NUTR FOR WMN,VNLA CINN,PREP W/ BOIL H2O",19.82,3.22,1.28,104
CEREALS,"CEREALS,QKR,INST OATMEAL,FOR WOMEN,BRSUGR,PREP W/H2O",20.04,3.24,1.32,105
CERLS,"CERLS,QUKR,INST OATML,NUTR FOR WMN,APL SPCE,PREP W/ BOIL H2O",21.02,3.0,1.19,107
